epoch,timestamp,cpu_percent,ram_percent,gpu_percent,gpu_memory_percent,accuracy,loss,val_accuracy,val_loss
0,2025-06-17 16:21:52,20.3,51.1,17.0,31.998697916666668,0.5281623005867004,1.0282995700836182,0.7957639694213867,0.7754786014556885
1,2025-06-17 16:21:54,32.9,51.1,21.0,31.998697916666668,0.7680883407592773,0.7777528762817383,0.741805374622345,0.70549476146698
2,2025-06-17 16:21:55,27.2,50.9,18.0,31.966145833333332,0.7813708186149597,0.6650943160057068,0.799798309803009,0.6316882967948914
3,2025-06-17 16:21:56,29.2,50.9,18.0,31.966145833333332,0.8044611215591431,0.5793098211288452,0.8330811858177185,0.5616493821144104
4,2025-06-17 16:21:58,41.8,51.0,20.0,31.966145833333332,0.8193128705024719,0.5155982375144958,0.814422607421875,0.6064504981040955
5,2025-06-17 16:22:00,34.6,50.9,19.0,31.966145833333332,0.8383679986000061,0.45196959376335144,0.8401411771774292,0.5391634702682495
6,2025-06-17 16:22:02,27.5,50.9,21.0,31.966145833333332,0.8501933813095093,0.3947561979293823,0.8668683767318726,0.4519231915473938
7,2025-06-17 16:22:03,26.7,50.9,19.0,31.884765625,0.8612901568412781,0.3533257842063904,0.7927382588386536,0.5673527717590332
8,2025-06-17 16:22:04,34.2,50.9,19.0,31.884765625,0.879896879196167,0.3026309609413147,0.8618255257606506,0.41053906083106995
9,2025-06-17 16:22:06,30.3,50.9,18.0,31.884765625,0.8851650357246399,0.27592968940734863,0.8345940709114075,0.4841521084308624
10,2025-06-17 16:22:07,31.7,50.9,18.0,31.884765625,0.894692599773407,0.24911169707775116,0.8648512363433838,0.41384992003440857
11,2025-06-17 16:22:08,40.6,50.9,31.0,31.819661458333332,0.9035475850105286,0.2240794152021408,0.8280383348464966,0.5153676867485046
